,_id,PK,CCR,HIERARCHY,INCIDENTTIME,INCIDENTLOCATION,CLEAREDFLAG,INCIDENTNEIGHBORHOOD,INCIDENTZONE,INCIDENTHIERARCHYDESC,OFFENSES,INCIDENTTRACT,COUNCIL_DISTRICT,PUBLIC_WORKS_DIVISION,X,Y
320569,339674,3397454,23071678.0,26,2023-05-13T16:25:00,"200 Block Federal ST Pittsburgh, PA 15212",N,Brighton Heights,1,HARRASSMENT-OTHER,9999 Miscellaneous Report (No Crime),2701.0,1.0,6.0,-80.00396354178193,40.448421310220375
320571,339676,3397457,23071705.0,4,2023-05-13T17:42:00,"300 Block Enright CT Pittsburgh, PA 15206",Y,East Liberty,5,AGG ASSAULT/GUN/NO INJURY,907 Possessing Instruments of Crime. / 2706 Terroristic Threats. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1115.0,9.0,2.0,-79.91684040656841,40.46088714915575
320575,339680,3397462,23071922.0,10,2023-05-13T23:05:00,"Suncrest ST & Grimes AV Pittsburgh, PA 15210",N,Knoxville,3,SIMPLE ASSAULT/INJURY,901 Criminal Attempt / 2701 Simple Assault.,3001.0,3.0,5.0,-79.99302923645503,40.41071608475696
320576,339681,3397465,23071957.0,4,2023-05-14T01:35:00,"300 Block North Shore DR Pittsburgh, PA 15212",Y,North Shore,1,AGG ASSAULT/STRONGARM/NO INJURY,2702 Aggravated Assault. / 5104 Resisting Arrest or Other Law Enforcement. / 5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,2205.0,1.0,1.0,-80.00963634854578,40.454910356150975
320577,339682,3397466,23071745.0,10,2023-05-13T18:33:00,"200 Block Reifert ST Pittsburgh, PA 15210",Y,Knoxville,3,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",3001.0,3.0,5.0,-79.99211430995578,40.40813781566023
320582,339687,3397473,23071975.0,26,2023-05-13T23:00:00,"600 Block Atlanta ST Pittsburgh, PA 15212",N,Central Northside,1,THEFT BY EXTORTION,3923 Theft by Extortion.,2503.0,6.0,1.0,-80.01403097325834,40.45857720762174
320583,339688,3397474,23071983.0,26,2023-05-14T02:45:00,"2200 Block Penn AV Pittsburgh, PA 15222",N,Strip District,2,HARRASSMENT-OTHER,2709(a) Harassment. / 3743 Accidents Involving Damage to Attended Veh. or Property,203.0,7.0,6.0,-79.98197064743064,40.45220386293197
320588,339693,3397481,23071763.0,4,2023-05-13T19:14:00,"7900 Block Inglenook PL Pittsburgh, PA 15221",N,Homewood South,5,AGG ASSAULT/OTHER/INJURY,2701 Simple Assault.,1304.0,9.0,2.0,-79.8857462553671,40.45115963412598
320591,339696,3397484,23072002.0,10,2023-05-14T03:01:00,"100 Block Erin ST Pittsburgh, PA 15219",Y,Middle Hill,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,501.0,6.0,3.0,-79.97929233108786,40.44491211692248
320594,339699,3397489,23072025.0,10,2023-05-14T04:47:00,"200 Block Fernleaf ST Pittsburgh, PA 15210",Y,Arlington,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 9501 Bench Warrant,1603.0,3.0,3.0,-79.97615539954984,40.41637322842718
320595,339700,3397491,23071792.0,24,2023-05-13T19:56:00,"7200 Block Lemington AV Pittsburgh, PA 15206",N,Lincoln-Lemington-Belmar,5,HARRASSMENT BY COMUN/ADDRESS,2709 Harassment (Non-Specific),1202.0,9.0,2.0,-79.89372207064721,40.46694486429478
320598,339703,3397501,23072038.0,10,2023-05-14T06:54:00,"200 Block Moore AV Pittsburgh, PA 15210",N,Knoxville,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2701 Simple Assault. / 2709 Harassment (Non-Specific) / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,3001.0,3.0,5.0,-79.99040961781442,40.41138696568967
320605,339710,3397519,23071819.0,4,2023-05-13T21:00:00,"Saw Mill Run BL & Maytide ST Pittsburgh, PA 15210",N,Overbrook,3,AGG ASSAULT/GUN/NO INJURY,2701(a)(3) Simple Assault - Attempts by Physical Menace ,3204.0,4.0,5.0,-79.99508506830033,40.3847155702718
320606,339711,3397521,23071821.0,10,2023-05-13T21:02:00,"500 Block Sherwood AV Pittsburgh, PA 15204",N,Sheraden,6,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment. / 3503(b)(1)(iii) Defiant Trespass - Fencing or Other Enclosure,2018.0,2.0,5.0,-80.05296124404708,40.455742904476
320622,339727,3397542,23072068.0,26,2023-05-14T09:29:00,"200 Block Boggston AV Pittsburgh, PA 15210",Y,Beltzhoover,3,HARRASSMENT-OTHER,2709(a) Harassment.,1809.0,3.0,5.0,-80.00918060826046,40.418856764204456
320627,339732,3397549,23072876.0,10,2023-05-15T18:43:00,"1500 Block N Homewood AV Pittsburgh, PA 15208",Y,Homewood North,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1301.0,9.0,2.0,-79.8947102258741,40.46147053312969
320655,339760,3397590,23071141.0,10,2023-05-12T17:45:00,"1800 Block Warriors RD Pittsburgh, PA 15205",Y,Westwood,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2811.0,2.0,5.0,-80.0492441011091,40.43210847308183
320659,339764,3397594,23071145.0,26,2023-05-12T17:53:00,"5400 Block Penn AV Pittsburgh, PA 15206",Y,Bluff,5,HARRASSMENT-OTHER,2709(a) Harassment.,103.0,9.0,2.0,-79.93641690425278,40.464662723056286
320661,339766,3397597,23072116.0,10,2023-05-14T11:38:00,"200 Block S Aiken AV Pittsburgh, PA 15206",N,Bloomfield,5,TERRORISTIC THREATS,2706 Terroristic Threats. / 9999 Miscellaneous Report (No Crime),806.0,7.0,2.0,-79.93760873906452,40.46332747211888
320671,339776,3397611,23071178.0,10,2023-05-12T05:17:00,"Butler ST & 40th ST Pittsburgh, PA 15201",N,Lower Lawrenceville,2,TERRORISTIC THREATS,2706 Terroristic Threats.,603.0,7.0,2.0,-79.96229398727456,40.46871513219831
320672,339777,3397612,23072968.0,4,2023-05-15T21:05:00,"2100 Block Park Hill DR Pittsburgh, PA 15221",N,East Hills,5,AGG ASSAULT/OTHER/INJURY,2702 Aggravated Assault.,1306.0,9.0,2.0,-79.87406755546291,40.45320444634244
320673,339778,3397613,23071183.0,10,2023-05-11T12:15:00,"1900 Block Pauline AV Pittsburgh, PA 15216",N,Beechview,6,HARRASSMENT/THREAT/ATTEMPT/PHY,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1920.0,,,,
320675,339780,3397617,23071204.0,10,2023-05-12T19:30:00,"Foreland ST & Middle ST Pittsburgh, PA 15212",N,East Allegheny,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2706 Terroristic Threats.,2304.0,1.0,1.0,-79.99939273377731,40.45457670525066
320678,339783,3397624,23072976.0,10,2023-05-15T23:10:00,"Bigelow SQ Pittsburgh, PA 15219",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-79.99444124813522,40.44085164715175
320680,339785,3397627,23072977.0,10,2023-05-15T21:47:00,"4000 Block Perrysville AV Pittsburgh, PA 15214",Y,Perry North,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2602.0,1.0,1.0,-80.01990227188199,40.49113505642091
320684,339789,3397634,23072987.0,4,2023-05-15T22:07:00,"2100 Block Park Hill DR Pittsburgh, PA 15221",N,East Hills,5,AGG ASSAULT/GUN/INJURY,2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 8106 Shots Fired,1306.0,9.0,2.0,-79.87406755546291,40.45320444634244
320695,339800,3397650,23071281.0,10,2023-05-12T21:45:00,"Wylie AV & Crawford ST Pittsburgh, PA 15219",N,Crawford-Roberts,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,305.0,6.0,6.0,-79.98721864397707,40.44270779926111
320704,339809,3397669,23072991.0,26,2023-05-15T22:17:00,"1800 Block Marmaduke ST Pittsburgh, PA 15212",Y,Brighton Heights,1,HARRASSMENT-OTHER,5506 Loitering and Prowling at Night / 2709(a)(4) Harassment Communicates Prohibited Acts,2701.0,1.0,1.0,-80.04195105353402,40.48358018543816
320712,339817,3397688,23089944.0,1,2023-06-13T21:30:00,"2500 Block Allequippa ST Pittsburgh, PA 15213",N,West Oakland,4,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide. / 2702 Aggravated Assault.,402.0,6.0,3.0,-79.96771373707432,40.44112611443261
320714,339819,3397739,23071320.0,10,2023-05-12T23:20:00,"600 Block Liberty AV Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,5503 Disorderly Conduct.,201.0,6.0,6.0,-80.00162376467925,40.44178095471391
320726,339831,3397762,23072431.0,10,2023-05-15T01:00:00,"100 Block 7th ST Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-80.00099679748803,40.44414474792425
320727,339832,3397764,23072434.0,4,2023-05-15T00:51:00,"100 Block Robinson ST Pittsburgh, PA 15213",N,West Oakland,4,AGG ASSAULT/KNIFE/INJURY,2702 Aggravated Assault. / 3502 Burglary.,402.0,6.0,3.0,-79.96544804984292,40.43876356042736
320736,339841,3397778,23073080.0,10,2023-05-16T02:42:00,"4000 Block Butler ST Pittsburgh, PA 15201",Y,Central Lawrenceville,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,902.0,7.0,2.0,-79.96168070370373,40.46870105184571
320739,339844,3397782,23073091.0,26,2023-05-16T03:40:00,"100 Block Fitler ST Pittsburgh, PA 15210",Y,Arlington,3,HARRASSMENT-OTHER,2709(a) Harassment. / 9012 Non-Violent Domestic,1603.0,3.0,3.0,-79.9703953547578,40.41761474461324
320743,339848,3397787,23072486.0,4,2023-05-15T03:15:00,"2200 Block Webster AV Pittsburgh, PA 15219",N,Middle Hill,2,AGG ASSAULT/STRONGARM/INJURY,2701 Simple Assault.,501.0,6.0,3.0,-79.97786699256748,40.44735455758375
320746,339851,3397790,23072525.0,10,2023-05-15T07:40:00,"1200 Block Woodland AV Pittsburgh, PA 15212",Y,Marshall-Shadeland,1,SIMPLE ASSAULT/NO INJURY,2701(a)(3) Simple Assault - Attempts by Physical Menace ,2715.0,1.0,1.0,-80.02751033651488,40.46973962307384
320748,339853,3397792,23072528.0,10,2023-05-15T08:00:00,"200 Block Madeline ST Pittsburgh, PA 15210",Y,Carrick,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment.,2902.0,4.0,3.0,-79.98276911598785,40.39338866674705
320757,339862,3397808,23073171.0,26,2023-05-16T08:54:00,"200 Block Sweetbriar ST Pittsburgh, PA 15211",Y,Duquesne Heights,3,HARRASSMENT-OTHER,2709(a) Harassment.,1911.0,2.0,5.0,-80.02172459157421,40.43820045047176
320766,339871,3397818,23073200.0,10,2023-05-16T09:52:00,"200 Block Stanwix ST Pittsburgh, PA 15222",N,Central Business District,2,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201.0,6.0,6.0,-80.00488340744737,40.4398315923209
320769,339874,3397822,23073233.0,10,2023-05-16T11:16:00,"900 Block Woodbine ST Pittsburgh, PA 15201",Y,Stanton Heights,5,HARRASSMENT/THREAT/ATTEMPT/PHY,2709 Harassment (Non-Specific),1005.0,9.0,2.0,-79.94374382696802,40.47923769247399
320776,339881,3397831,23073279.0,10,2023-05-16T09:20:00,"300 Block Winston ST Pittsburgh, PA 15207",N,Hazelwood,4,TERRORISTIC THREATS,"2706 Terroristic Threats. / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1515.0,5.0,3.0,-79.93916503164651,40.40494307829196
320779,339884,3397835,23073438.0,26,2023-05-16T17:00:00,"2000 Block Plainview AV Pittsburgh, PA 15226",Y,Brookline,6,HARRASSMENT-OTHER,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1917.0,4.0,5.0,-80.01693209071246,40.40300103729039
320785,339890,3397843,23072539.0,3,2023-04-01T04:00:00,"7300 Block Monticello ST Pittsburgh, PA 15208",N,Homewood North,5,ROBBERY/RESIDENCE/OTHER,2702 Aggravated Assault. / 3701 Robbery.,1302.0,9.0,2.0,-79.89325312940666,40.45883754628007
320794,339899,3397854,23073500.0,10,2023-05-16T18:45:00,"4600 Block Centre AV Pittsburgh, PA 15213",N,North Oakland,4,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,507.0,6.0,3.0,-79.95199168900636,40.45190965427948
320796,339901,3397857,23073512.0,4,2023-05-16T19:02:00,"2100 Block Park Hill DR Pittsburgh, PA 15221",N,East Hills,5,AGG ASSAULT/GUN/INJURY,901 Criminal Attempt / 2702 Aggravated Assault.,1306.0,9.0,2.0,-79.87406755546291,40.45320444634244
320811,339916,3397881,23068049.0,26,2023-05-07T08:00:00,"200 Block Pauley ST Pittsburgh, PA 15207",Y,Glen Hazel,4,HARRASSMENT-OTHER,3304(a)(5) CRIMINAL MISCHIEF - Intentionally Damages Real Or Personal Property Of Another,1504.0,,,,
320815,339920,3397887,23068063.0,3,2023-05-07T12:00:00,"300 Block S Negley AV Pittsburgh, PA 15206",N,Friendship,5,ROBBERY/RESIDENCE/STRONGARM,3701 Robbery.,807.0,9.0,2.0,-79.92912309018344,40.46566300583575
320825,339930,3397917,23068116.0,24,2023-05-07T14:00:00,"1600 Block Crucible ST Pittsburgh, PA 15220",N,Crafton Heights,6,HARRASSMENT BY COMUN/ADDRESS,2706 Terroristic Threats. / 2709 Harassment (Non-Specific),2814.0,2.0,5.0,-80.05172115698821,40.44745712596411
320826,339931,3397918,23073519.0,10,2023-05-16T19:25:00,"900 Block Watson ST Pittsburgh, PA 15219",N,Bluff,2,HARASSMENT/STALKING/THREAT/ATTMEPT/PHY,2709(b) Stalking,103.0,6.0,6.0,-79.99177070369822,40.43840495895105
320831,339936,3397933,23073547.0,10,2023-05-16T20:25:00,"5800 Block Station ST Pittsburgh, PA 15206",Y,East Liberty,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1115.0,9.0,2.0,-79.92303531031459,40.47009894517393
320833,339938,3397935,23073549.0,10,2023-05-16T20:23:00,"6200 Block Station ST Pittsburgh, PA 15206",Y,Bluff,5,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck",103.0,7.0,2.0,-79.91743918153094,40.46819845266288
320849,339954,3397968,23073619.0,10,2023-05-16T23:14:00,"Grandview AV & Bertha ST Pittsburgh, PA 15211",N,Mount Washington,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2706 Terroristic Threats.,1903.0,2.0,5.0,-80.01121860426436,40.43424737723527
320851,339956,3397973,23073623.0,10,2023-05-16T23:13:00,"1100 Block Brookline BL Pittsburgh, PA 15226",Y,Brookline,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 5503 Disorderly Conduct.,1919.0,4.0,5.0,-80.01538203165492,40.39158783013372
320857,339962,3397984,23068138.0,3,2023-05-07T15:00:00,"Vinial ST & Spring Garden AV Pittsburgh, PA 15212",Y,East Allegheny,1,ROBBERY/CARJACK/STRONGARM,2701 Simple Assault. / 3702 Robbery of Motor Vehicle. / 3921(a) Theft by Unlawful Taking or Disposition - Movable item,2304.0,1.0,1.0,-79.99444413959833,40.45812241322125
320866,339971,3398002,23072621.0,10,2023-05-15T11:32:00,"2600 Block Centre AV Pittsburgh, PA 15219",N,Middle Hill,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2701 Simple Assault.,501.0,6.0,3.0,-79.96837961650861,40.44650607150782
320869,339974,3398008,23068213.0,26,2023-05-07T10:00:00,"1300 Block Chicago ST Pittsburgh, PA 15214",Y,Northview Heights,1,HARRASSMENT-OTHER,2709(a)(4) Harassment Communicates Prohibited Acts,2609.0,1.0,1.0,-80.0018064639388,40.47804608016053
320884,339989,3398027,23068310.0,2,2023-05-07T22:51:00,Zone 3,Y,,3,RAPE BY FORCE,907 Possessing Instruments of Crime. / 2701 Simple Assault. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3121 Rape. / 3304 Criminal Mischief. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,,,,,
320896,340001,3398099,23075417.0,10,2023-05-20T01:21:00,"80 Block Climax ST Pittsburgh, PA 15210",Y,Beltzhoover,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2902 Unlawful Restraint. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,1809.0,3.0,5.0,-80.00672982717386,40.41869928794826
320900,340005,3398104,23075439.0,10,2023-05-20T02:20:00,"Herron AV & Centre AV Pittsburgh, PA 15219",Y,Middle Hill,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 5503(a)(1) DISORDERLY CONDUCT - ENGAGE IN FIGHTING,501.0,6.0,3.0,-79.9648962289163,40.44882971131055
320911,340016,3398119,23075523.0,10,2023-05-20T08:29:00,"600 Block Wood ST Pittsburgh, PA 15222",N,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201.0,6.0,6.0,-79.99947653015562,40.442128855670354
320918,340023,3398128,23075557.0,10,2023-05-19T02:40:00,"Stevenson ST & 5th AV Pittsburgh, PA 15219",N,Bluff,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,103.0,6.0,3.0,-79.98646569536781,40.43861522613606
320931,340036,3398194,23073313.0,3,2023-05-16T13:52:00,"7000 Block Fleury WY Pittsburgh, PA 15208",N,Homewood South,5,ROBBERY/HIGHWAY/GUN,2706 Terroristic Threats. / 3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1303.0,9.0,2.0,-79.9016306026398,40.45708456786661
320942,340047,3398208,23073857.0,4,2023-05-17T12:01:00,"600 Block Rolla ST Pittsburgh, PA 15214",Y,Perry South,1,AGG ASSAULT/STRONGARM/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",2614.0,6.0,1.0,-80.01474103931658,40.460966133570494
320943,340048,3398209,23073861.0,26,2023-05-17T12:05:00,"Market SQ Pittsburgh, PA 15222",N,Central Business District,2,HARRASSMENT-OTHER,"2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201.0,6.0,6.0,-80.0025648161765,40.44070224038093
320976,340081,3398261,23073643.0,10,2023-05-17T00:06:00,"1100 Block Faulkner ST Pittsburgh, PA 15204",Y,Sheraden,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2022.0,2.0,5.0,-80.06269246901368,40.455446195126925
320977,340082,3398263,23073646.0,10,2023-05-17T01:35:00,"3400 Block Clearfield ST Pittsburgh, PA 15204",Y,Windgap,6,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2807.0,2.0,5.0,-80.07129860325593,40.45180627551091
320980,340085,3398268,23073680.0,10,2023-05-17T01:53:00,"Smithfield ST & Strawberry WY Pittsburgh, PA 15219",N,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-79.99728925659072,40.44215131148279
320992,340097,3398288,23073770.0,17,2023-05-10T16:50:00,Zone 2,N,,2,INDECENT ASSAULT,3126 Indecent Assault.,,,,,
321001,340106,3398299,23073969.0,10,2023-05-17T15:54:00,"Liberty AV & Strawberry WY Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-79.99879983223754,40.44272396085064
321016,340121,3398323,23073830.0,4,2023-05-17T10:40:00,"300 Block Oliver AV Pittsburgh, PA 15222",N,Central Business District,2,AGG ASSAULT/STRONGARM/INJURY,2702 Aggravated Assault.,201.0,,,,
321019,340124,3398328,23074024.0,3,2023-05-17T17:09:00,"7100 Block Ross Garden RD Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,ROBBERY/HIGHWAY/GUN,2705 Recklessy Endangering Another Person. / 2706 Terroristic Threats. / 3701 Robbery. / 2701(a)(3) Simple Assault - Attempts by Physical Menace ,1201.0,9.0,2.0,-79.89473896596903,40.4717709626726
321021,340126,3398342,23074783.0,10,2023-05-18T23:57:00,"3800 Block Perrysville AV Pittsburgh, PA 15214",Y,Perry North,1,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,2607.0,1.0,1.0,-80.01602421608875,40.48755929473652
321026,340131,3398350,23074827.0,10,2023-05-19T01:40:00,"Mon Warf Pittsburgh, PA 15222",Y,Central Business District,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,201.0,6.0,6.0,-80.0028830949995,40.4373048670073
321028,340133,3398354,23074834.0,26,2023-05-19T01:45:00,"400 Block S Fairmount ST Pittsburgh, PA 15232",Y,Friendship,5,HARRASSMENT-OTHER,2709 Harassment (Non-Specific),807.0,9.0,2.0,-79.93117052111863,40.46724462532781
321031,340136,3398357,23074851.0,26,2023-05-19T02:53:00,"7300 Block Fleury WY Pittsburgh, PA 15208",Y,Homewood South,5,HARRASSMENT-OTHER,2709(a) Harassment.,1303.0,9.0,2.0,-79.89465673867832,40.455498219882784
321042,340147,3398389,23074939.0,24,2023-05-19T09:55:00,"500 Block Marshall AV Pittsburgh, PA 15214",Y,Perry South,1,HARRASSMENT BY COMUN/ADDRESS,9999 Miscellaneous Report (No Crime),2615.0,6.0,1.0,-80.01669411551083,40.4710051338768
321061,340166,3398428,23071461.0,4,2023-05-13T05:20:00,"Ibis WY & Bausman ST Pittsburgh, PA 15210",N,Knoxville,3,AGG ASSAULT/GUN/INJURY,2702 Aggravated Assault.,3001.0,3.0,5.0,-79.98855694092555,40.414427421450725
321063,340168,3398431,23071474.0,10,2023-05-13T06:34:00,"1300 Block Grotto ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1202.0,9.0,2.0,-79.8964291387915,40.46613680135098
321065,340170,3398434,23071487.0,10,2023-05-13T07:40:00,"5500 Block Hays ST Pittsburgh, PA 15206",Y,East Liberty,5,SIMPLE ASSAULT/INJURY,2701 Simple Assault. / 2706 Terroristic Threats.,1113.0,9.0,2.0,-79.9295980729089,40.47044878207938
321105,340210,3398501,23074084.0,4,2023-05-17T19:50:00,"6400 Block Navarro ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,AGG ASSAULT/GUN/NO INJURY,2701 Simple Assault. / 2706 Terroristic Threats. / 6106 Firearms not to be Carried without a License. / 3733 Fleeing or Attempting to Elude Police Officer,1203.0,9.0,2.0,-79.90362761796352,40.46965650924889
321106,340211,3398504,23074090.0,10,2023-05-17T19:00:00,"3200 Block Niagara ST Pittsburgh, PA 15213",Y,South Oakland,4,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,409.0,3.0,3.0,-79.9604312181213,40.4339267036077
321122,340227,3398531,23074169.0,10,2023-05-17T22:18:00,"300 Block Liberty AV Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,"5505 Public Drunkenness / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",201.0,6.0,6.0,-80.00626004490198,40.44057020141844
321126,340231,3398536,23074175.0,10,2023-05-17T22:15:00,"1000 Block 5th AV Pittsburgh, PA 15219",N,Central Business District,2,SIMPLE ASSAULT/INJURY,"2701(a)(1) Simple Assault - Intent., Know., Reckless.Cause Bod. Injury",201.0,6.0,3.0,-79.99083966448477,40.43857277983079
321128,340233,3398539,23075035.0,10,2023-05-19T13:00:00,"200 Block S 9th ST Pittsburgh, PA 15203",Y,South Side Flats,3,HARRASSMENT/THREAT/ATTEMPT/PHY,2709 Harassment (Non-Specific),1702.0,,,,
321130,340235,3398542,23074182.0,10,2023-05-17T23:24:00,"300 Block Liberty AV Pittsburgh, PA 15222",Y,Central Business District,2,HARRASSMENT/THREAT/ATTEMPT/PHY,2709(a) Harassment. / 5503 Disorderly Conduct. / 5505 Public Drunkenness / 3503.B1I DEF. TRESPASS ACTUAL COMMUNICATION,201.0,6.0,6.0,-80.00626004490198,40.44057020141844
321133,340238,3398552,23062744.0,10,2023-04-27T20:28:00,"700 Block Lillian ST Pittsburgh, PA 15210",Y,Allentown,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1803.0,3.0,5.0,-79.99562636156503,40.41851915885045
321136,340241,3398578,23064472.0,3,2023-05-01T00:40:00,"Smithfield ST Pittsburgh, PA 15222",Y,Central Business District,2,ROBBERY/HIGHWAY/STRONGARM,903 Criminal Conspiracy. / 2702 Aggravated Assault. / 2705 Recklessy Endangering Another Person. / 3701 Robbery.,201.0,6.0,6.0,-79.99995073870699,40.43851436079883
321141,340246,3398589,23074291.0,26,2023-05-17T17:00:00,"60 Block 54th ST Pittsburgh, PA 15201",Y,Upper Lawrenceville,2,HARRASSMENT-OTHER,2709 Harassment (Non-Specific),1011.0,7.0,2.0,-79.95294659851636,40.48388623604532
321156,340261,3398617,23068091.0,10,2023-05-07T13:05:00,"6700 Block Lyric ST Pittsburgh, PA 15206",Y,Lincoln-Lemington-Belmar,5,SIMPLE ASSAULT/INJURY,"2701 Simple Assault. / 13(a)(31) Marijuana: Possession Small Amount / 2709(a)(1) Harassment by Physical Contact, or Attempts or Threats",1203.0,9.0,2.0,-79.90362919728479,40.46371038120608
321159,340264,3398623,23096685.0,1,2023-06-25T06:46:00,"1100 Block Federal ST & Citron WY Pittsburgh, PA 15212",N,Central Northside,1,MURDER/NON-NEG/MANSLTR-GUN,2501 Criminal Homicide.,2206.0,,,,
321162,340267,3398702,23075922.0,3,2023-05-21T00:10:00,"bainton ST & california AV Pittsburgh, PA 15212",N,Brighton Heights,1,ROBBERY/HIGHWAY/STRONGARM,3701 Robbery.,2703.0,1.0,1.0,-80.03786727809901,40.472867824504505
321165,340270,3398706,23075942.0,10,2023-05-21T01:08:00,"300 Block 3rd AV Pittsburgh, PA 15222",N,Central Business District,2,TERRORISTIC THREATS,2706 Terroristic Threats.,201.0,6.0,6.0,-80.00161356345536,40.438866132202165
321170,340275,3398715,23075974.0,10,2023-05-21T02:23:00,"2200 Block Webster AV Pittsburgh, PA 15219",N,Middle Hill,2,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,501.0,6.0,3.0,-79.97786699256748,40.44735455758375
321175,340280,3398726,23076024.0,10,2023-05-21T04:50:00,"200 Block East Ohio ST Pittsburgh, PA 15212",Y,Allegheny Center,1,SIMPLE ASSAULT/INJURY,3304 Criminal Mischief. / 2718(a)(1) Strangulation - Applying Pressure to the Throat or Neck,2204.0,,,,
321183,340288,3398738,23076078.0,24,2023-05-21T09:00:00,"100 Block N Negley AV Pittsburgh, PA 15206",N,East Liberty,5,HARRASSMENT BY COMUN/ADDRESS,2709.A3 HARASSMENT - COURSE OF CONDUCT W/NO LEGIT. PURPOSE,1115.0,7.0,2.0,-79.92473137348203,40.47428352828359
321186,340291,3398743,23076091.0,10,2023-05-21T10:10:00,"900 Block E Carson ST Pittsburgh, PA 15203",N,South Side Flats,3,SIMPLE ASSAULT/INJURY,2701 Simple Assault.,1702.0,3.0,3.0,-79.9897766789713,40.42869070625432
